"award_type_desc","organization_org_state","measure","amount"
"1: New","AL","Awards",3
"1: New","AL","Funding",2.371923
"1: New","AR","Awards",3
"1: New","AR","Funding",2.132588
"1: New","AZ","Awards",5
"1: New","AZ","Funding",2.48505
"1: New","CA","Awards",61
"1: New","CA","Funding",26.588733
"1: New","CO","Awards",25
"1: New","CO","Funding",12.74849
"1: New","CT","Awards",8
"1: New","CT","Funding",4.199229
"1: New","DC","Awards",7
"1: New","DC","Funding",4.352745
"1: New","DE","Awards",2
"1: New","DE","Funding",0.590063
"1: New","FL","Awards",18
"1: New","FL","Funding",14.082204
"1: New","GA","Awards",16
"1: New","GA","Funding",5.227474
"1: New","HI","Awards",4
"1: New","HI","Funding",0.353
"1: New","IA","Awards",1
"1: New","IA","Funding",1.116739
"1: New","ID","Awards",1
"1: New","ID","Funding",0.415376
"1: New","IL","Awards",29
"1: New","IL","Funding",15.394166
"1: New","IN","Awards",6
"1: New","IN","Funding",3.840756
"1: New","KS","Awards",3
"1: New","KS","Funding",1.830813
"1: New","KY","Awards",4
"1: New","KY","Funding",1.644479
"1: New","LA","Awards",4
"1: New","LA","Funding",0.899636
"1: New","MA","Awards",59
"1: New","MA","Funding",47.481792
"1: New","MD","Awards",29
"1: New","MD","Funding",11.288648
"1: New","MI","Awards",36
"1: New","MI","Funding",22.172949
"1: New","MN","Awards",7
"1: New","MN","Funding",2.392675
"1: New","MO","Awards",25
"1: New","MO","Funding",9.539637
"1: New","MS","Awards",2
"1: New","MS","Funding",0.559969
"1: New","NC","Awards",32
"1: New","NC","Funding",16.007319
"1: New","ND","Awards",1
"1: New","ND","Funding",0.434929
"1: New","NE","Awards",4
"1: New","NE","Funding",1.467243
"1: New","NH","Awards",1
"1: New","NH","Funding",0.45025
"1: New","NJ","Awards",11
"1: New","NJ","Funding",7.069689
"1: New","NM","Awards",1
"1: New","NM","Funding",0.01
"1: New","NV","Awards",1
"1: New","NV","Funding",0.153602
"1: New","NY","Awards",52
"1: New","NY","Funding",17.671552
"1: New","OH","Awards",31
"1: New","OH","Funding",12.292162
"1: New","OK","Awards",4
"1: New","OK","Funding",1.492669
"1: New","OR","Awards",12
"1: New","OR","Funding",7.166815
"1: New","PA","Awards",51
"1: New","PA","Funding",18.625407
"1: New","RI","Awards",7
"1: New","RI","Funding",1.183509
"1: New","SC","Awards",8
"1: New","SC","Funding",6.596547
"1: New","TN","Awards",8
"1: New","TN","Funding",3.631336
"1: New","TX","Awards",44
"1: New","TX","Funding",19.398647
"1: New","UT","Awards",12
"1: New","UT","Funding",5.190764
"1: New","VA","Awards",14
"1: New","VA","Funding",5.298095
"1: New","WA","Awards",23
"1: New","WA","Funding",17.19738
"1: New","WI","Awards",9
"1: New","WI","Funding",1.818693
"1: New","WV","Awards",1
"1: New","WV","Funding",0.456
"1: New","WY","Awards",1
"1: New","WY","Funding",0.397375
"1: New","ZZ","Awards",2
"1: New","ZZ","Funding",0.40153
"2: Renewal","AZ","Awards",1
"2: Renewal","AZ","Funding",1.019901
"2: Renewal","CA","Awards",5
"2: Renewal","CA","Funding",3.741003
"2: Renewal","CO","Awards",1
"2: Renewal","CO","Funding",0.3402
"2: Renewal","CT","Awards",1
"2: Renewal","CT","Funding",0.340199
"2: Renewal","IL","Awards",4
"2: Renewal","IL","Funding",3.32685
"2: Renewal","IN","Awards",3
"2: Renewal","IN","Funding",0.946688
"2: Renewal","KS","Awards",1
"2: Renewal","KS","Funding",0.177837
"2: Renewal","MA","Awards",8
"2: Renewal","MA","Funding",4.669713
"2: Renewal","MI","Awards",5
"2: Renewal","MI","Funding",2.55632
"2: Renewal","MO","Awards",2
"2: Renewal","MO","Funding",1.191258
"2: Renewal","NC","Awards",2
"2: Renewal","NC","Funding",0.680398
"2: Renewal","NJ","Awards",1
"2: Renewal","NJ","Funding",0.906002
"2: Renewal","NY","Awards",4
"2: Renewal","NY","Funding",0.84922
"2: Renewal","OH","Awards",1
"2: Renewal","OH","Funding",1.02638
"2: Renewal","OK","Awards",1
"2: Renewal","OK","Funding",0.444238
"2: Renewal","OR","Awards",1
