"all_crosscuts","organization_org_state","measure","amount","short_label"
"disparities","AL","Awards",1,"Health Disparities"
"disparities","AL","Funding",0.155589,"Health Disparities"
"disparities","AR","Awards",1,"Health Disparities"
"disparities","AR","Funding",1.529996,"Health Disparities"
"disparities","AZ","Awards",1,"Health Disparities"
"disparities","AZ","Funding",0.465871,"Health Disparities"
"disparities","CA","Awards",35,"Health Disparities"
"disparities","CA","Funding",13.482142,"Health Disparities"
"disparities","CO","Awards",11,"Health Disparities"
"disparities","CO","Funding",7.850253,"Health Disparities"
"disparities","CT","Awards",2,"Health Disparities"
"disparities","CT","Funding",1.03036,"Health Disparities"
"disparities","FL","Awards",2,"Health Disparities"
"disparities","FL","Funding",0.995356,"Health Disparities"
"disparities","GA","Awards",6,"Health Disparities"
"disparities","GA","Funding",1.684626,"Health Disparities"
"disparities","IA","Awards",1,"Health Disparities"
"disparities","IA","Funding",1.265696,"Health Disparities"
"disparities","IL","Awards",11,"Health Disparities"
"disparities","IL","Funding",8.270238,"Health Disparities"
"disparities","IN","Awards",3,"Health Disparities"
"disparities","IN","Funding",1.112247,"Health Disparities"
"disparities","KS","Awards",1,"Health Disparities"
"disparities","KS","Funding",0.413347,"Health Disparities"
"disparities","KY","Awards",1,"Health Disparities"
"disparities","KY","Funding",0.295883,"Health Disparities"
"disparities","MA","Awards",18,"Health Disparities"
"disparities","MA","Funding",7.361264,"Health Disparities"
"disparities","MD","Awards",18,"Health Disparities"
"disparities","MD","Funding",14.654201,"Health Disparities"
"disparities","MI","Awards",16,"Health Disparities"
"disparities","MI","Funding",14.211402,"Health Disparities"
"disparities","MN","Awards",13,"Health Disparities"
"disparities","MN","Funding",6.058418,"Health Disparities"
"disparities","MO","Awards",3,"Health Disparities"
"disparities","MO","Funding",1.020819,"Health Disparities"
"disparities","MS","Awards",2,"Health Disparities"
"disparities","MS","Funding",2.788496,"Health Disparities"
"disparities","NC","Awards",20,"Health Disparities"
"disparities","NC","Funding",6.80225,"Health Disparities"
"disparities","NE","Awards",1,"Health Disparities"
"disparities","NE","Funding",0.614652,"Health Disparities"
"disparities","NJ","Awards",10,"Health Disparities"
"disparities","NJ","Funding",7.909551,"Health Disparities"
"disparities","NM","Awards",1,"Health Disparities"
"disparities","NM","Funding",0.320797,"Health Disparities"
"disparities","NV","Awards",3,"Health Disparities"
"disparities","NV","Funding",0.975202,"Health Disparities"
"disparities","NY","Awards",20,"Health Disparities"
"disparities","NY","Funding",10.66916,"Health Disparities"
"disparities","OH","Awards",6,"Health Disparities"
"disparities","OH","Funding",2.704467,"Health Disparities"
"disparities","OK","Awards",2,"Health Disparities"
"disparities","OK","Funding",1.88145,"Health Disparities"
"disparities","PA","Awards",24,"Health Disparities"
"disparities","PA","Funding",11.274411,"Health Disparities"
"disparities","RI","Awards",5,"Health Disparities"
"disparities","RI","Funding",2.543104,"Health Disparities"
"disparities","SC","Awards",5,"Health Disparities"
"disparities","SC","Funding",2.974615,"Health Disparities"
"disparities","SD","Awards",1,"Health Disparities"
"disparities","SD","Funding",1.469241,"Health Disparities"
"disparities","TN","Awards",2,"Health Disparities"
"disparities","TN","Funding",0.734139,"Health Disparities"
"disparities","TX","Awards",13,"Health Disparities"
"disparities","TX","Funding",4.308074,"Health Disparities"
"disparities","UT","Awards",5,"Health Disparities"
"disparities","UT","Funding",4.1847,"Health Disparities"
"disparities","VA","Awards",1,"Health Disparities"
"disparities","VA","Funding",0.699612,"Health Disparities"
"disparities","WA","Awards",4,"Health Disparities"
"disparities","WA","Funding",1.052821,"Health Disparities"
"disparities","WI","Awards",12,"Health Disparities"
"disparities","WI","Funding",5.32684,"Health Disparities"
"disparities","WV","Awards",1,"Health Disparities"
