"appl_id","core_project_num","project_num","funding_mechanism","fiscal_year","project_title","org_name_clean","organization_org_state","all_themes","all_crosscuts"
11128734,"K23HD104934","5K23HD104934-04","Other Research-Related",2025,"Optimizing pain-related outcomes following orthopedic trauma: testing novel risk factors and determining the feasibility of a new pain psychology intervention","Johns Hopkins University","MD","theme4","unclassified"
11244249,"F31HD120062","1F31HD120062-01","Training, Individual",2025,"Neuro-Cognitive Trajectories of Language and Executive Functioning Co-Developmentin Early Childhood","University of Maryland","MD","theme4","unclassified"
10785825,"R03HD113870","1R03HD113870-01","Research Projects",2023,"Development of an animal model to test HDAC6 as a drug target to reduce and/or prevent fetal growth restriction","University of Memphis","TN","theme3","unclassified"
11312682,"R01HD093070","5R01HD093070-08","Research Projects",2026,"VEGF Gene Delivery In The Primate To Prevent Defective Spiral Artery Remodeling And Maternal Vascular Dysfunction","University of Maryland","MD","theme1;theme3","informatics"
11253765,"R13HD120125","1R13HD120125-01","Other Research-Related",2025,"17th, 18th and 19th editions of the International Workshop on Pediatrics & HIV","Columbia University","NY","theme3;theme4","infectious"
10850865,"R01HD104599","5R01HD104599-05","Research Projects",2024,"Obesogenic origins of maternal and child metabolic health involving dolutegravir (ORCHID)","Columbia University","NY","theme3;theme4;theme5","global;infectious;nutrition"
11226567,"F31HD114456","5F31HD114456-02","Training, Individual",2026,"Decoding Repression: Recruitment of epigenetic silencers by RNA binding proteins and long non-coding RNAs","University of North Carolina","NC","theme1","unclassified"
11245507,"F30HD117622","1F30HD117622-01A1","Training, Individual",2025,"Rural and Urban Differences in Pubertal Development and Menstrual Characteristics in a Costa Rican Cohort","University of Utah","UT","theme2;theme4","disparities;global"
11117033,"K23HD109471","5K23HD109471-04","Other Research-Related",2025,"Systemic Mediators and Biomarkers of Injury in Preterm Infants with Intermittent Hypoxemia","University of Texas System","TX","theme3;theme4","unclassified"
11266118,"F31HD115407","5F31HD115407-02","Training, Individual",2026,"Understanding the Role of NAD Deficiency in a Mendelian Disorder of Tryptophan Metabolism","Baylor College of Medicine","TX","theme1;theme3;theme5","nutrition"
11199647,"F31HD114457","5F31HD114457-02","Training, Individual",2025,"Early Puberty During the COVID-19 Pandemic in a Multi-Ethnic, Population-Based Cohort of Children and Adolescents","University of California Berkeley","CA","theme2;theme4","disparities;infectious"
10821924,"R43HD114328","1R43HD114328-01","SBIR/STTR",2023,"Morquio A therapy integrating gene transfer with lectin-enhanced enzyme delivery to treat multisystemic clinical impairments of rare metabolic childhood diseases","Biostrategies, Lc","AR","theme1","infectious"
10885677,"OT2HD115175","1OT2HD115175-01","Other",2023,"Pediatric Medical Devices Public-Private Partnership (PMD-PPP) Design Phase","Foundation For The Nih","MD","theme4","unclassified"
11397934,"OT2HD115175","3OT2HD115175-01S1","Other",2025,"Pediatric Medical Devices Public-Private Partnership (PMD-PPP) Design Phase","Foundation For The Nih","MD","theme4","unclassified"
10836480,"R01HD098713","5R01HD098713-05","Research Projects",2024,"Targeted Inhibition of Interleukin-1 beta to Prevent Preterm Birth","University of Washington","WA","theme3","infectious"
