"funding_mechanism","organization_org_state","measure","amount"
"Interagency Agreements","ZZ","Awards",4
"Interagency Agreements","ZZ","Funding",1.689951
"Other","CO","Awards",2
"Other","CO","Funding",2.727606
"Other","MD","Awards",2
"Other","MD","Funding",1.625
"Other","WA","Awards",1
"Other","WA","Funding",0.399999
"Other Research-Related","AL","Awards",9
"Other Research-Related","AL","Funding",5.734789
"Other Research-Related","AR","Awards",2
"Other Research-Related","AR","Funding",0.387387
"Other Research-Related","CA","Awards",49
"Other Research-Related","CA","Funding",13.587599
"Other Research-Related","CO","Awards",19
"Other Research-Related","CO","Funding",3.713022
"Other Research-Related","CT","Awards",11
"Other Research-Related","CT","Funding",1.809483
"Other Research-Related","DC","Awards",8
"Other Research-Related","DC","Funding",5.502499
"Other Research-Related","FL","Awards",6
"Other Research-Related","FL","Funding",1.493634
"Other Research-Related","GA","Awards",6
"Other Research-Related","GA","Funding",1.06773
"Other Research-Related","HI","Awards",2
"Other Research-Related","HI","Funding",0.04
"Other Research-Related","IA","Awards",2
"Other Research-Related","IA","Funding",0.769751
"Other Research-Related","IL","Awards",17
"Other Research-Related","IL","Funding",8.305717
"Other Research-Related","IN","Awards",9
"Other Research-Related","IN","Funding",1.280517
"Other Research-Related","KS","Awards",3
"Other Research-Related","KS","Funding",0.30592
"Other Research-Related","KY","Awards",1
"Other Research-Related","KY","Funding",0.221268
"Other Research-Related","LA","Awards",3
"Other Research-Related","LA","Funding",4.663614
"Other Research-Related","MA","Awards",38
"Other Research-Related","MA","Funding",22.082921
"Other Research-Related","MD","Awards",20
"Other Research-Related","MD","Funding",6.698852
"Other Research-Related","ME","Awards",1
"Other Research-Related","ME","Funding",0.155987
"Other Research-Related","MI","Awards",20
"Other Research-Related","MI","Funding",8.321201
"Other Research-Related","MN","Awards",5
"Other Research-Related","MN","Funding",0.883844
"Other Research-Related","MO","Awards",17
"Other Research-Related","MO","Funding",3.346808
"Other Research-Related","MS","Awards",1
"Other Research-Related","MS","Funding",0.296955
"Other Research-Related","NC","Awards",45
"Other Research-Related","NC","Funding",33.458678
"Other Research-Related","NJ","Awards",2
"Other Research-Related","NJ","Funding",0.192146
"Other Research-Related","NM","Awards",2
"Other Research-Related","NM","Funding",0.543491
"Other Research-Related","NY","Awards",30
"Other Research-Related","NY","Funding",6.676473
"Other Research-Related","OH","Awards",17
"Other Research-Related","OH","Funding",5.153585
"Other Research-Related","OR","Awards",6
"Other Research-Related","OR","Funding",2.01887
"Other Research-Related","PA","Awards",42
"Other Research-Related","PA","Funding",26.375115
"Other Research-Related","RI","Awards",10
"Other Research-Related","RI","Funding",1.939793
"Other Research-Related","SC","Awards",2
"Other Research-Related","SC","Funding",0.299049
"Other Research-Related","TN","Awards",7
"Other Research-Related","TN","Funding",1.058483
"Other Research-Related","TX","Awards",22
"Other Research-Related","TX","Funding",5.140346
"Other Research-Related","UT","Awards",13
"Other Research-Related","UT","Funding",4.033434
"Other Research-Related","VA","Awards",5
"Other Research-Related","VA","Funding",0.55027
"Other Research-Related","VT","Awards",2
"Other Research-Related","VT","Funding",0.165412
"Other Research-Related","WA","Awards",11
"Other Research-Related","WA","Funding",2.350384
"Other Research-Related","WI","Awards",11
"Other Research-Related","WI","Funding",1.409744
"Other Research-Related","WV","Awards",1
"Other Research-Related","WV","Funding",0.15984
"Other Research-Related","ZZ","Awards",7
"Other Research-Related","ZZ","Funding",3.082953
"R and D Contracts","CA","Awards",18
"R and D Contracts","CA","Funding",10.908594
"R and D Contracts","CO","Awards",2
"R and D Contracts","CO","Funding",0.699948
"R and D Contracts","LA","Awards",1
"R and D Contracts","LA","Funding",0.246869
"R and D Contracts","MA","Awards",1
"R and D Contracts","MA","Funding",0.225
"R and D Contracts","MD","Awards",17
"R and D Contracts","MD","Funding",25.371996
"R and D Contracts","ME","Awards",1
"R and D Contracts","ME","Funding",0.649999
"R and D Contracts","MN","Awards",4
"R and D Contracts","MN","Funding",0.658041
"R and D Contracts","NC","Awards",6
"R and D Contracts","NC","Funding",5.077803
"R and D Contracts","NY","Awards",3
"R and D Contracts","NY","Funding",4.552652
"R and D Contracts","VA","Awards",5
