"organization_type_code_desc","organization_org_state","measure","amount"
"10: Academic","AL","Awards",26
"10: Academic","AL","Funding",13.9955
"10: Academic","AR","Awards",4
"10: Academic","AR","Funding",2.747551
"10: Academic","AZ","Awards",24
"10: Academic","AZ","Funding",12.443268
"10: Academic","CA","Awards",329
"10: Academic","CA","Funding",139.780246
"10: Academic","CO","Awards",97
"10: Academic","CO","Funding",47.240542
"10: Academic","CT","Awards",67
"10: Academic","CT","Funding",28.298854
"10: Academic","DC","Awards",13
"10: Academic","DC","Funding",16.865711
"10: Academic","DE","Awards",8
"10: Academic","DE","Funding",2.000747
"10: Academic","FL","Awards",44
"10: Academic","FL","Funding",42.684821
"10: Academic","GA","Awards",67
"10: Academic","GA","Funding",28.569057
"10: Academic","HI","Awards",8
"10: Academic","HI","Funding",1.535577
"10: Academic","IA","Awards",14
"10: Academic","IA","Funding",6.583552
"10: Academic","ID","Awards",2
"10: Academic","ID","Funding",0.955925
"10: Academic","IL","Awards",90
"10: Academic","IL","Funding",41.880699
"10: Academic","IN","Awards",48
"10: Academic","IN","Funding",21.664331
"10: Academic","KS","Awards",30
"10: Academic","KS","Funding",12.003436
"10: Academic","KY","Awards",15
"10: Academic","KY","Funding",6.378971
"10: Academic","LA","Awards",17
"10: Academic","LA","Funding",10.808528
"10: Academic","MA","Awards",113
"10: Academic","MA","Funding",75.895417
"10: Academic","MD","Awards",114
"10: Academic","MD","Funding",39.707631
"10: Academic","ME","Awards",1
"10: Academic","ME","Funding",0.022943
"10: Academic","MI","Awards",142
"10: Academic","MI","Funding",74.603817
"10: Academic","MN","Awards",54
"10: Academic","MN","Funding",20.875711
"10: Academic","MO","Awards",83
"10: Academic","MO","Funding",39.409431
"10: Academic","MS","Awards",5
"10: Academic","MS","Funding",3.344087
"10: Academic","NC","Awards",159
"10: Academic","NC","Funding",68.220186
"10: Academic","ND","Awards",2
"10: Academic","ND","Funding",0.61558
"10: Academic","NE","Awards",8
"10: Academic","NE","Funding",3.796311
"10: Academic","NH","Awards",4
