"org_name_clean","org_zip","organization_org_state","INTPTLAT","INTPTLONG","measure","amount"
"Acumen, Llc","94010","CA",37.571918,-122.375028,"Awards",1
"Acumen, Llc","94010","CA",37.571918,-122.375028,"Funding",0.377061
"Advanced Tactile Imaging, Inc.","08618","NJ",40.24934,-74.789968,"Awards",1
"Advanced Tactile Imaging, Inc.","08618","NJ",40.24934,-74.789968,"Funding",0.857783
"Albert Einstein College of Medicine","10461","NY",40.846741,-73.840788,"Awards",10
"Albert Einstein College of Medicine","10461","NY",40.846741,-73.840788,"Funding",4.103439
"Albert Einstein Healthcare Network","19141","PA",40.037921,-75.145377,"Awards",2
"Albert Einstein Healthcare Network","19141","PA",40.037921,-75.145377,"Funding",1.00871
"Amahealth Llc","85749","AZ",32.281851,-110.731649,"Awards",1
"Amahealth Llc","85749","AZ",32.281851,-110.731649,"Funding",0.31318
"American Society of Andrology","60118","IL",42.106259,-88.304383,"Awards",1
"American Society of Andrology","60118","IL",42.106259,-88.304383,"Funding",0.01
"Analytical Diagnostic Solutions, Inc.","08054","NJ",39.948992,-74.900247,"Awards",1
"Analytical Diagnostic Solutions, Inc.","08054","NJ",39.948992,-74.900247,"Funding",0.906002
"Anelleo, Inc.","27516","NC",35.906197,-79.154855,"Awards",1
"Anelleo, Inc.","27516","NC",35.906197,-79.154855,"Funding",1.389051
"Arcadia University","19038","PA",40.10521,-75.169812,"Awards",2
"Arcadia University","19038","PA",40.10521,-75.169812,"Funding",0.90609
"Arizona State University-Tempe Campus","85257","AZ",33.463212,-111.913762,"Awards",7
"Arizona State University-Tempe Campus","85257","AZ",33.463212,-111.913762,"Funding",3.968745
"Arkansas Children's Hospital Res Inst","72202","AR",34.73813,-92.247251,"Awards",3
"Arkansas Children's Hospital Res Inst","72202","AR",34.73813,-92.247251,"Funding",1.457829
"Artemis Biotechnologies Llc","76502","TX",31.104022,-97.412045,"Awards",1
"Artemis Biotechnologies Llc","76502","TX",31.104022,-97.412045,"Funding",0.385272
"Auburn University at Auburn","36832","AL",32.582936,-85.585938,"Awards",2
"Auburn University at Auburn","36832","AL",32.582936,-85.585938,"Funding",0.393408
"Augusta University","30912","GA",33.4702,-81.987917,"Awards",1
"Augusta University","30912","GA",33.4702,-81.987917,"Funding",0.176331
"Autoivf, Inc.","01760","MA",42.284822,-71.348811,"Awards",1
"Autoivf, Inc.","01760","MA",42.284822,-71.348811,"Funding",0.997028
"Avera Mckennan","57105","SD",43.520296,-96.735607,"Awards",1
"Avera Mckennan","57105","SD",43.520296,-96.735607,"Funding",1.469241
"Barrett Technology, Llc","02460","MA",42.351824,-71.20849,"Awards",1
"Barrett Technology, Llc","02460","MA",42.351824,-71.20849,"Funding",0.950894
"Baylor College of Medicine","77030","TX",29.705557,-95.401754,"Awards",56
"Baylor College of Medicine","77030","TX",29.705557,-95.401754,"Funding",28.586474
"Baylor University","76798","TX",31.546107,-97.120959,"Awards",2
"Baylor University","76798","TX",31.546107,-97.120959,"Funding",0.961035
"Beth Israel Deaconess Medical Center","02215","MA",42.347635,-71.103082,"Awards",6
"Beth Israel Deaconess Medical Center","02215","MA",42.347635,-71.103082,"Funding",2.335854
"Bioincept, Llc","45040","OH",39.350783,-84.313198,"Awards",1
"Bioincept, Llc","45040","OH",39.350783,-84.313198,"Funding",0.816664
"Biosensics, Llc","02458","MA",42.353585,-71.188192,"Awards",1
"Biosensics, Llc","02458","MA",42.353585,-71.188192,"Funding",0.932949
"Biostrategies, Lc","72467","AR",35.842221,-90.677602,"Awards",1
"Biostrategies, Lc","72467","AR",35.842221,-90.677602,"Funding",0.295923
"Bioteam, Inc.","01949","MA",42.610322,-71.006295,"Awards",1
"Bioteam, Inc.","01949","MA",42.610322,-71.006295,"Funding",0.225
"Boise State University","83725","ID",43.604822,-116.205619,"Awards",1
"Boise State University","83725","ID",43.604822,-116.205619,"Funding",0.573021
"Boston Children's Hospital","02115","MA",42.339422,-71.094531,"Awards",32
"Boston Children's Hospital","02115","MA",42.339422,-71.094531,"Funding",17.335113
"Boston College","02467","MA",42.314321,-71.152778,"Awards",4
"Boston College","02467","MA",42.314321,-71.152778,"Funding",1.134332
"Boston Medical Center","02118","MA",42.33786,-71.069805,"Awards",4
"Boston Medical Center","02118","MA",42.33786,-71.069805,"Funding",3.795171
"Boston University","02118","MA",42.33786,-71.069805,"Awards",14
"Boston University","02118","MA",42.33786,-71.069805,"Funding",7.414426
"Boston University","02215","MA",42.347635,-71.103082,"Awards",5
"Boston University","02215","MA",42.347635,-71.103082,"Funding",1.560414
"Bowling Green State University","43403","OH",41.377844,-83.636555,"Awards",1
"Bowling Green State University","43403","OH",41.377844,-83.636555,"Funding",0.426
"Brandeis University","02453","MA",42.368685,-71.241103,"Awards",3
"Brandeis University","02453","MA",42.368685,-71.241103,"Funding",2.131868
"Brigham Young University","84602","UT",40.254108,-111.650082,"Awards",2
"Brigham Young University","84602","UT",40.254108,-111.650082,"Funding",0.90385
"Brigham and Women's Hospital","02115","MA",42.339422,-71.094531,"Awards",29
"Brigham and Women's Hospital","02115","MA",42.339422,-71.094531,"Funding",12.834062
"Briteseed, Llc","60625","IL",41.973081,-87.699751,"Awards",1
"Briteseed, Llc","60625","IL",41.973081,-87.699751,"Funding",0.490469
"Broad Institute, Inc.","02142","MA",42.362505,-71.08096,"Awards",3
"Broad Institute, Inc.","02142","MA",42.362505,-71.08096,"Funding",11.884769
"Brooklyn Innoseq Inc.","11201","NY",40.6937,-73.989859,"Awards",1
"Brooklyn Innoseq Inc.","11201","NY",40.6937,-73.989859,"Funding",0.296351
"Brown University","02903","RI",41.819233,-71.410245,"Awards",18
"Brown University","02903","RI",41.819233,-71.410245,"Funding",7.296146
"Bumptup Labs, Inc.","42104","KY",36.876864,-86.45119,"Awards",1
"Bumptup Labs, Inc.","42104","KY",36.876864,-86.45119,"Funding",0.295883
"Burst Diagnostics Llc","80524","CO",40.646854,-105.029519,"Awards",1
"Burst Diagnostics Llc","80524","CO",40.646854,-105.029519,"Funding",0.301299
"Butler University","46208","IN",39.819071,-86.171083,"Awards",1
"Butler University","46208","IN",39.819071,-86.171083,"Funding",0.516934
"California Family Health Council, Inc.","90010","CA",34.060987,-118.299884,"Awards",1
"California Family Health Council, Inc.","90010","CA",34.060987,-118.299884,"Funding",0.002653
"California Institute of Technology","91125","CA",34.137644,-118.124952,"Awards",6
"California Institute of Technology","91125","CA",34.137644,-118.124952,"Funding",2.913357
"California Poly State U San Luis Obispo","93407","CA",35.306628,-120.669175,"Awards",1
"California Poly State U San Luis Obispo","93407","CA",35.306628,-120.669175,"Funding",0.496036
"Carnegie-Mellon University","15213","PA",40.435563,-79.964078,"Awards",4
"Carnegie-Mellon University","15213","PA",40.435563,-79.964078,"Funding",2.363766
"Carroll University","53186","WI",43.022155,-88.204676,"Awards",1
"Carroll University","53186","WI",43.022155,-88.204676,"Funding",0.34332
"Case Western Reserve University","44106","OH",41.505341,-81.605432,"Awards",14
