"organization_org_state","Awards","Funding","funded_orgs","funded_invest","run_date"
"AL",30,15.828726,4,34,"2026-06-22"
"AR",9,4.739823,5,13,"2026-06-22"
"AZ",30,16.150255,5,36,"2026-06-22"
"CA",395,178.966318,49,411,"2026-06-22"
"CO",90,43.675086,6,85,"2026-06-22"
"CT",71,29.457445,5,72,"2026-06-22"
"DC",38,28.099888,8,52,"2026-06-22"
"DE",11,3.730948,2,12,"2026-06-22"
"FL",49,43.799399,13,65,"2026-06-22"
"GA",64,25.738044,7,77,"2026-06-22"
"HI",7,1.453345,1,5,"2026-06-22"
"IA",15,6.777532,1,16,"2026-06-22"
"ID",2,0.988397,2,2,"2026-06-22"
"IL",119,57.395663,13,132,"2026-06-22"
"IN",44,19.552311,5,45,"2026-06-22"
"KS",29,11.451705,3,29,"2026-06-22"
"KY",14,5.682357,2,14,"2026-06-22"
"LA",16,10.047116,5,21,"2026-06-22"
"MA",283,184.316194,47,302,"2026-06-22"
"MB",1,0.545085,1,1,"2026-06-22"
"MD",143,82.302443,20,149,"2026-06-22"
"ME",9,5.802555,3,16,"2026-06-22"
"MI",139,71.945721,13,157,"2026-06-22"
"MN",68,29.580706,8,69,"2026-06-22"
"MO",99,41.546154,8,109,"2026-06-22"
"MS",6,3.641042,4,8,"2026-06-22"
"NC",175,91.412869,17,190,"2026-06-22"
"ND",1,0.434929,1,1,"2026-06-22"
"NE",10,4.720161,4,9,"2026-06-22"
"NH",5,2.648202,2,4,"2026-06-22"
"NJ",61,27.297495,10,63,"2026-06-22"
"NM",3,0.553491,2,3,"2026-06-22"
"NV",6,1.631137,2,5,"2026-06-22"
"NY",249,118.239565,35,303,"2026-06-22"
"OH",124,59.1716,14,150,"2026-06-22"
"OK",10,5.254766,3,13,"2026-06-22"
"ON",2,0.704181,2,4,"2026-06-22"
"OR",60,32.10646,8,62,"2026-06-22"
"PA",234,116.080735,19,259,"2026-06-22"
"RI",36,11.69947,6,33,"2026-06-22"
"SC",36,16.881846,4,36,"2026-06-22"
"SD",1,1.469241,1,1,"2026-06-22"
"TN",35,16.053724,6,44,"2026-06-22"
"TX",182,81.415846,26,195,"2026-06-22"
"UT",56,24.939463,4,63,"2026-06-22"
"VA",52,21.54652,14,67,"2026-06-22"
"VT",6,2.068915,1,7,"2026-06-22"
"WA",122,65.234468,7,131,"2026-06-22"
"WI",67,28.603514,6,77,"2026-06-22"
"WV",3,0.984516,1,3,"2026-06-22"
"WY",2,0.7225,1,1,"2026-06-22"
"ZZ",21,6.786138,12,22,"2026-06-22"
