"all_themes","organization_org_state","measure","amount","short_label"
"ncmrr","AL","Awards",4,"Rehabilitation"
"ncmrr","AL","Funding",2.825969,"Rehabilitation"
"ncmrr","AZ","Awards",5,"Rehabilitation"
"ncmrr","AZ","Funding",2.510463,"Rehabilitation"
"ncmrr","CA","Awards",29,"Rehabilitation"
"ncmrr","CA","Funding",14.739388,"Rehabilitation"
"ncmrr","CO","Awards",7,"Rehabilitation"
"ncmrr","CO","Funding",2.808053,"Rehabilitation"
"ncmrr","CT","Awards",3,"Rehabilitation"
"ncmrr","CT","Funding",0.975116,"Rehabilitation"
"ncmrr","DC","Awards",2,"Rehabilitation"
"ncmrr","DC","Funding",0.94923,"Rehabilitation"
"ncmrr","DE","Awards",5,"Rehabilitation"
"ncmrr","DE","Funding",1.096023,"Rehabilitation"
"ncmrr","FL","Awards",7,"Rehabilitation"
"ncmrr","FL","Funding",2.678903,"Rehabilitation"
"ncmrr","GA","Awards",12,"Rehabilitation"
"ncmrr","GA","Funding",5.084269,"Rehabilitation"
"ncmrr","IA","Awards",1,"Rehabilitation"
"ncmrr","IA","Funding",0.229318,"Rehabilitation"
"ncmrr","ID","Awards",1,"Rehabilitation"
"ncmrr","ID","Funding",0.573021,"Rehabilitation"
"ncmrr","IL","Awards",30,"Rehabilitation"
"ncmrr","IL","Funding",15.31379,"Rehabilitation"
"ncmrr","IN","Awards",2,"Rehabilitation"
"ncmrr","IN","Funding",0.773829,"Rehabilitation"
"ncmrr","KS","Awards",4,"Rehabilitation"
"ncmrr","KS","Funding",1.711142,"Rehabilitation"
"ncmrr","MA","Awards",18,"Rehabilitation"
"ncmrr","MA","Funding",8.13754,"Rehabilitation"
"ncmrr","MD","Awards",8,"Rehabilitation"
"ncmrr","MD","Funding",9.300963,"Rehabilitation"
"ncmrr","MI","Awards",15,"Rehabilitation"
"ncmrr","MI","Funding",5.165561,"Rehabilitation"
"ncmrr","MN","Awards",4,"Rehabilitation"
"ncmrr","MN","Funding",2.785234,"Rehabilitation"
"ncmrr","MO","Awards",12,"Rehabilitation"
"ncmrr","MO","Funding",4.820078,"Rehabilitation"
"ncmrr","NC","Awards",12,"Rehabilitation"
"ncmrr","NC","Funding",15.240103,"Rehabilitation"
"ncmrr","NE","Awards",3,"Rehabilitation"
"ncmrr","NE","Funding",1.771972,"Rehabilitation"
"ncmrr","NH","Awards",1,"Rehabilitation"
"ncmrr","NH","Funding",0.499037,"Rehabilitation"
"ncmrr","NJ","Awards",4,"Rehabilitation"
"ncmrr","NJ","Funding",1.377236,"Rehabilitation"
"ncmrr","NV","Awards",1,"Rehabilitation"
"ncmrr","NV","Funding",0.153602,"Rehabilitation"
"ncmrr","NY","Awards",9,"Rehabilitation"
"ncmrr","NY","Funding",3.225158,"Rehabilitation"
"ncmrr","OH","Awards",18,"Rehabilitation"
"ncmrr","OH","Funding",6.345864,"Rehabilitation"
"ncmrr","OR","Awards",3,"Rehabilitation"
"ncmrr","OR","Funding",1.249789,"Rehabilitation"
"ncmrr","PA","Awards",19,"Rehabilitation"
"ncmrr","PA","Funding",9.102568,"Rehabilitation"
"ncmrr","SC","Awards",8,"Rehabilitation"
"ncmrr","SC","Funding",5.155875,"Rehabilitation"
"ncmrr","TN","Awards",2,"Rehabilitation"
"ncmrr","TN","Funding",1.675932,"Rehabilitation"
"ncmrr","TX","Awards",9,"Rehabilitation"
"ncmrr","TX","Funding",3.056011,"Rehabilitation"
"ncmrr","UT","Awards",12,"Rehabilitation"
"ncmrr","UT","Funding",4.790593,"Rehabilitation"
"ncmrr","VA","Awards",7,"Rehabilitation"
"ncmrr","VA","Funding",3.395847,"Rehabilitation"
"ncmrr","WA","Awards",11,"Rehabilitation"
"ncmrr","WA","Funding",3.576219,"Rehabilitation"
"ncmrr","WI","Awards",10,"Rehabilitation"
"ncmrr","WI","Funding",4.47882,"Rehabilitation"
"theme1","AL","Awards",2,"Developmental Biology"
"theme1","AL","Funding",1.191964,"Developmental Biology"
"theme1","AR","Awards",2,"Developmental Biology"
"theme1","AR","Funding",0.90218,"Developmental Biology"
"theme1","AZ","Awards",3,"Developmental Biology"
"theme1","AZ","Funding",1.249223,"Developmental Biology"
