po_full_names,n,major_topic
BRETT  MILLER,69,Child Development & Behavior
LAYLA E ESPOSITO,100,Child Development & Behavior
PARISA  PARSAFAR,66,Child Development & Behavior
TRACY  KING,33,Child Development & Behavior
VIRGINIA CHARLOTTE SALO,82,Child Development & Behavior
JENELLE ROSE WALKER,24,Pediatric Growth & Nutrition
KAREN  WINER,79,Pediatric Growth & Nutrition
SHARON A ROSS,80,Pediatric Growth & Nutrition
CINNAMON ANNE DIXON,52,Pediatric Trauma & Critical Care
LEAH KAYE GILBERT,57,Pediatric Trauma & Critical Care
ROBERT F TAMBURRO,2,Pediatric Trauma & Critical Care
TAMMARA L JENKINS,51,Pediatric Trauma & Critical Care
VALERIE  MAHOLMES,42,Pediatric Trauma & Critical Care
VESNA  KUTLESIC,5,Pediatric Trauma & Critical Care
KATHRYN K STEIN,86,Dev. Biology & Congenital Anomalies
MAHUA  MUKHOPADHYAY,104,Dev. Biology & Congenital Anomalies
MARANKE IRENE KOSTER,2,Dev. Biology & Congenital Anomalies
MARCIA VASCONCELLOS FOURNIER,8,Dev. Biology & Congenital Anomalies
REIKO  TOYAMA,72,Dev. Biology & Congenital Anomalies
CATHERINE LEIGH ALLEN,41,Gynecologic Health & Disease
CHRISTOPHER CHARLES LINDSEY,27,Fertility & Infertility
DANIEL STEPHEN JOHNSTON,15,Fertility & Infertility
LUIS E DETTIN,22,Fertility & Infertility
NEELAKANTA  RAVINDRANATH,77,Fertility & Infertility
SUSAN  TAYMANS,123,Fertility & Infertility
TRAVIS JOHN KENT,92,Fertility & Infertility
ABISOLA KAFAYAT TEPEDE,7,Gynecologic Health & Disease
CANDACE M TINGEN,64,Gynecologic Health & Disease
DONNA  MAZLOOMDOOST,13,Gynecologic Health & Disease
HELENA HYESOOK AHN,38,Gynecologic Health & Disease
ALICE S KAU,26,Inellectual & Developmental Disabilities
JULIA JIAQI OREILLY,85,Inellectual & Developmental Disabilities
MARIPIERRE PAYEN SURPRIS,49,Inellectual & Developmental Disabilities
MEI  QIN,45,Inellectual & Developmental Disabilities
MELISSA  PARISI,74,Inellectual & Developmental Disabilities
SUJATA  BARDHAN,98,Inellectual & Developmental Disabilities
ALLAHNA LAUREN ESBER,27,Matern. & Ped. Infectious Diseases
DENISE  RUSSO,79,Matern. & Ped. Infectious Diseases
FRANKLIN WILLEM YATES,32,Matern. & Ped. Infectious Diseases
JACK  MOYE,8,Matern. & Ped. Infectious Diseases
SAI PRASANNA MAJJI,64,Matern. & Ped. Infectious Diseases
SONIA S LEE,28,Matern. & Ped. Infectious Diseases
AARON C PAWLYK,8,Obstet. & Ped. Pharmacol. & Therap.
ANTONELLO  PILEGGI,41,Obstet. & Ped. Pharmacol. & Therap.
CAMILLE  FABIYI,36,Obstet. & Ped. Pharmacol. & Therap.
LESLY  SAMEDY BATES,43,Obstet. & Ped. Pharmacol. & Therap.
PERDITA  TAYLOR-ZAPATA,10,Obstet. & Ped. Pharmacol. & Therap.
ZHAOXIA  REN,12,Obstet. & Ped. Pharmacol. & Therap.
JUANITA JEANNE CHINN,80,Population Dynamics
RANDOLPH CHRISTOPHER CAPPS,71,Population Dynamics
REBECCA L CLARK,24,Population Dynamics
RONNA  POPKIN,128,Population Dynamics
SUSAN  JEKIELEK,39,Population Dynamics
AUGUSTO FREDERICO SANTOS SCHMIDT,23,Pregnancy & Perinatology
DAVID H WEINBERG,69,Pregnancy & Perinatology
DIANE LAURA GUMINA,53,Pregnancy & Perinatology
GUILLERMINA  GIRARDI,48,Pregnancy & Perinatology
JOHN V ILEKIS,86,Pregnancy & Perinatology
MEGAN S MITCHELL,54,Pregnancy & Perinatology
MONICA  LONGO,52,Pregnancy & Perinatology
NAHIDA ABDO CHAKHTOURA,109,Pregnancy & Perinatology
TARA LYNN DEYAMPERT,26,Pregnancy & Perinatology
JOSEPH FRANCIS BONNER,47,Natl. Ctr. for Med. Rehabilitation Res.
MARIA  NURMINSKAYA,38,Natl. Ctr. for Med. Rehabilitation Res.
RALPH M NITKIN,54,Natl. Ctr. for Med. Rehabilitation Res.
SUSAN F MARDEN,48,Natl. Ctr. for Med. Rehabilitation Res.
TOYIN DELE AJISAFE,55,Natl. Ctr. for Med. Rehabilitation Res.
HEATHER MARIE BROCKWAY,1,Unknown
NA,103,Unknown
